biosample_id,taxon,expr_sum
nmdc:bsm-11-65a4xw75,Lenarviricota,7571
nmdc:bsm-11-65a4xw75,Lentisphaerota,1216
nmdc:bsm-11-65a4xw75,Microsporidia,43
nmdc:bsm-11-65a4xw75,Mollusca,4439
nmdc:bsm-11-65a4xw75,Mucoromycota,41696
nmdc:bsm-11-65a4xw75,Mycoplasmatota,519
nmdc:bsm-11-65a4xw75,Myxococcota,237507
nmdc:bsm-11-65a4xw75,Negarnaviricota,644
nmdc:bsm-11-65a4xw75,Nematoda,4498
nmdc:bsm-11-65a4xw75,Nitrososphaerota,35721
nmdc:bsm-11-65a4xw75,Nitrospinota,2459
nmdc:bsm-11-65a4xw75,Nitrospirota,71971
nmdc:bsm-11-65a4xw75,Nucleocytoviricota,151
nmdc:bsm-11-65a4xw75,Oomycota,5637
nmdc:bsm-11-65a4xw75,Parabasalia,295
nmdc:bsm-11-65a4xw75,Peploviricota,0
nmdc:bsm-11-65a4xw75,Perkinsozoa,1189
nmdc:bsm-11-65a4xw75,Pisuviricota,8712
nmdc:bsm-11-65a4xw75,Placozoa,1862
nmdc:bsm-11-65a4xw75,Planctomycetota,547054
nmdc:bsm-11-65a4xw75,Porifera,1953
nmdc:bsm-11-65a4xw75,Preplasmiviricota,69
nmdc:bsm-11-65a4xw75,Pseudomonadota,4598081
nmdc:bsm-11-65a4xw75,Rhodothermota,10276
